#
# THESE LIMITS DO NOT HAVE A DUT TEST POINT
#

#
# Name, unit, value_type (string, integer, float), limit_type (lower, upper, both, equality, none), equality_limit, lower_limit, upper_limit
#

# ifconfig and verify
FRONT_IFM_1,A,integer,equality,1,,
RIGHT_IFM_1,A,integer,equality,1,,
LEFT_IFM_1,A,integer,equality,1,,
SWITCH_1,A,integer,equality,1,,
SERVICE_1,A,integer,equality,1,,

# ping
SL_LIDAR_1,A,integer,equality,1,,
PL_LIDAR_1,A,integer,equality,1,,
FRONT_IFM_2,A,integer,equality,1,,
RIGHT_IFM_2,A,integer,equality,1,,
LEFT_IFM_2,A,integer,equality,1,,
SWITCH_2,A,integer,equality,1,,
SERVICE_2,A,integer,equality,1,,

IMU_1,A,integer,equality,1,,
IMU_GYRO_1,A,integer,equality,1,,

BIOS_1,A,integer,equality,1,,

#EEPROM_1,A,integer,equality,1,,

# Look for USB devices 
USB_VERIFY_1,A,integer,both,,5,8

# Verify the Checksum value from each USB drive
#USB_CKSUM_1,A,integer,equality,47032,,
#USB_CKSUM_2,A,integer,equality,20504,,
#USB_CKSUM_3,A,integer,equality,36466,,
#USB_CKSUM_4,A,integer,equality,44824,,
#USB_CKSUM_5,A,integer,equality,47032,,

# Verify the performance of each USB drive
#USB_PERFORM_1,A,float,both,,18.0,31.0
#USB_PERFORM_2,A,float,both,,18.0,31.0
#USB_PERFORM_3,A,float,both,,18.0,31.0
#USB_PERFORM_4,A,float,both,,18.0,31.0
#USB_PERFORM_5,A,float,both,,18.0,31.0

# 24v, 2.8A
DUT_VOLTAGE_1,A,float,both,,19.9,20.1
DUT_VOLTAGE_2,A,float,both,,35.9,36.1
DUT_VOLTAGE_3,A,float,both,,23.9,24.1
DUT_CURRENT_1,A,float,both,,0.6,2.1
DUT_CURRENT_2,A,float,both,,0.6,2.1
DUT_CURRENT_3,A,float,both,,0.6,2.1

KEY_SENSE_1,A,integer,equality,1,,
KEY_SENSE_2,A,integer,equality,1,,

# 24v MUX
P24VA_1,A,float,both,,23.5,24.5
P24VA_2,A,float,both,,23.5,24.5
P24VA_3,A,float,both,,23.5,24.5
IFM_RIGHT_P24VB_1,A,float,both,,23.5,24.5
IFM_RIGHT_P24VB_2,A,float,both,,23.5,24.5
IFM_RIGHT_P24VB_3,A,float,both,,23.5,24.5
IFM_FRONT_P24VC_1,A,float,both,,23.5,24.5
IFM_FRONT_P24VC_2,A,float,both,,23.5,24.5
IFM_FRONT_P24VC_3,A,float,both,,23.5,24.5
IFM_LEFT_P24VD_1,A,float,both,,23.5,24.5
IFM_LEFT_P24VD_2,A,float,both,,23.5,24.5
IFM_LEFT_P24VD_3,A,float,both,,23.5,24.5

RLAY24_1_PLUS_1,A,float,both,,23.5,24.5
RLAY24_1_MINUS_1,A,float,both,,0.0,0.1
RLAY24_2_PLUS_1,A,float,both,,23.5,24.5
RLAY24_2_MINUS_1,A,float,both,,0.0,0.1

RLAY24_1_PLUS_2,A,float,both,,23.5,24.5
RLAY24_1_MINUS_2,A,float,both,,23.5,24.5
RLAY24_2_PLUS_2,A,float,both,,23.5,24.5
RLAY24_2_MINUS_2,A,float,both,,23.5,24.5

# 12v
FAN_P12VA_1,A,float,both,,10.8,13.2
FAN_P12VA_2,A,float,both,,10.8,13.2
FAN_P12VA_3,A,float,both,,10.8,13.2
SLANTED_LIDAR_P12VB_1,A,float,both,,10.8,13.2
SLANTED_LIDAR_P12VB_2,A,float,both,,10.8,13.2
SLANTED_LIDAR_P12VB_3,A,float,both,,10.8,13.2
P12VC_1,A,float,both,,10.8,13.2
P12VC_2,A,float,both,,10.8,13.2
P12VC_3,A,float,both,,10.8,13.2
H_LIDAR_P12VD_1,A,float,both,,10.8,13.2
H_LIDAR_P12VD_2,A,float,both,,10.8,13.2
H_LIDAR_P12VD_3,A,float,both,,10.8,13.2
#LCD_POWER_P12VE_1,A,float,both,,10.8,13.2
#LCD_POWER_P12VE_2,A,float,both,,10.8,13.2
#LCD_POWER_P12VE_3,A,float,both,,10.8,13.2

RLAY12_1_PLUS_1,A,float,both,,10.8,13.2
RLAY12_1_MINUS_1,A,float,both,,0.0,0.1
RLAY12_1_PLUS_2,A,float,both,,10.8,13.2
RLAY12_1_MINUS_2,A,float,both,,10.8,13.2
RLAY12_2_PLUS_1,A,float,both,,10.8,13.2
RLAY12_2_MINUS_1,A,float,both,,0.0,0.1
RLAY12_2_PLUS_2,A,float,both,,10.8,13.2
RLAY12_2_MINUS_2,A,float,both,,10.8,13.2

# 5V
EXT_LTE_MODEM__USB_5V_1A_1,A,float,both,,4.5,5.5
EXT_LTE_MODEM__USB_5V_1A_2,A,float,both,,4.5,5.5
EXT_LTE_MODEM__USB_5V_1A_3,A,float,both,,4.5,5.5
USB_5V_1B_1,A,float,both,,4.5,5.5
USB_5V_1B_2,A,float,both,,4.5,5.5
USB_5V_1B_3,A,float,both,,4.5,5.5
FRONT_CAM_P5VA_1,A,float,both,,4.5,5.5
FRONT_CAM_P5VA_2,A,float,both,,4.5,5.5
FRONT_CAM_P5VA_3,A,float,both,,4.5,5.5
RIGHT_CAM_P5VB_1,A,float,both,,4.5,5.5
RIGHT_CAM_P5VB_2,A,float,both,,4.5,5.5
RIGHT_CAM_P5VB_3,A,float,both,,4.5,5.5
LEFT_CAM_P5VC_1,A,float,both,,4.5,5.5
LEFT_CAM_P5VC_2,A,float,both,,4.5,5.5
LEFT_CAM_P5VC_3,A,float,both,,4.5,5.5
P5VD_1,A,float,both,,4.5,5.5
P5VD_2,A,float,both,,4.5,5.5
P5VD_3,A,float,both,,4.5,5.5
P5VE_1,A,float,both,,4.5,5.5
P5VE_2,A,float,both,,4.5,5.5
P5VE_3,A,float,both,,4.5,5.5
P5VF_1,A,float,both,,4.5,5.5
P5VF_2,A,float,both,,4.5,5.5
P5VF_3,A,float,both,,4.5,5.5
P5VG_1,A,float,both,,4.5,5.5
P5VG_2,A,float,both,,4.5,5.5
P5VG_3,A,float,both,,4.5,5.5
STEERING_P5VH_1,A,float,both,,4.5,5.5
STEERING_P5VH_2,A,float,both,,4.5,5.5
STEERING_P5VH_3,A,float,both,,4.5,5.5
ABSOLUTE_ENCODER_P5VI_1,A,float,both,,4.5,5.5
ABSOLUTE_ENCODER_P5VI_2,A,float,both,,4.5,5.5
ABSOLUTE_ENCODER_P5VI_3,A,float,both,,4.5,5.5
TRACTION_ENCODER_P5VJ_1,A,float,both,,4.5,5.5
TRACTION_ENCODER_P5VJ_2,A,float,both,,4.5,5.5
TRACTION_ENCODER_P5VJ_3,A,float,both,,4.5,5.5
P5VK_1,A,float,both,,4.5,5.5
P5VK_2,A,float,both,,4.5,5.5
