#
# THESE LIMITS DO NOT HAVE A DUT TEST POINT
#

#
# Name, unit, value_type (string, integer, float), limit_type (lower, upper, both, equality, none), equality_limit, lower_limit, upper_limit
#

# ifconfig and verify
FRONT_IFM_1,A,integer,none,1,,
RIGHT_IFM_1,A,integer,none,1,,
LEFT_IFM_1,A,integer,none,1,,
SWITCH_1,A,integer,none,1,,

# ping
FRONT_IFM_2,A,integer,none,1,,
RIGHT_IFM_2,A,integer,none,1,,
LEFT_IFM_2,A,integer,none,1,,
SWITCH_2,A,integer,none,1,,
SL_LIDAR_2,A,integer,none,1,,
PL_LIDAR_2,A,integer,none,1,,

IMU_1,A,integer,none,1,,
IMU_GYRO_1,A,integer,none,1,,

BIOS_1,A,integer,none,1,,

#EEPROM_1,A,integer,none,1,,

# Look for 4 USB thumb devices (or 5 with the USB Hub)
USB_VERIFY_1,A,integer,none,,1,5

# Verify the Checksum value from each USB drive
#USB_CKSUM_1,A,integer,none,47032,,
#USB_CKSUM_2,A,integer,none,20504,,
#USB_CKSUM_3,A,integer,none,36466,,
#USB_CKSUM_4,A,integer,none,44824,,
#USB_CKSUM_5,A,integer,none,47032,,

# Verify the performance of each USB drive
#USB_PERFORM_1,A,float,none,,18.0,31.0
#USB_PERFORM_2,A,float,none,,18.0,31.0
#USB_PERFORM_3,A,float,none,,18.0,31.0
#USB_PERFORM_4,A,float,none,,18.0,31.0
#USB_PERFORM_5,A,float,none,,18.0,31.0

# 24v, 2.8A
DUT_VOLTAGE_1,A,float,none,,17.9,18.1
DUT_VOLTAGE_2,A,float,none,,35.9,36.1
DUT_VOLTAGE_3,A,float,none,,23.9,24.1
DUT_CURRENT_1,A,float,none,,0.8,2.1
DUT_CURRENT_2,A,float,none,,0.8,2.1
DUT_CURRENT_3,A,float,none,,0.8,1.6
KEY_SENSE_1,A,float,none,,0.8,1.2

# 24v MUX
P24VA_1,A,float,none,,23.5,24.5
P24VA_2,A,float,none,,23.5,24.5
P24VA_3,A,float,none,,23.5,24.5
IFM_RIGHT_P24VB_1,A,float,none,,23.5,24.5
IFM_RIGHT_P24VB_2,A,float,none,,23.5,24.5
IFM_RIGHT_P24VB_3,A,float,none,,23.5,24.5
IFM_FRONT_P24VC_1,A,float,none,,23.5,24.5
IFM_FRONT_P24VC_2,A,float,none,,23.5,24.5
IFM_FRONT_P24VC_3,A,float,none,,23.5,24.5
IFM_LEFT_P24VD_1,A,float,none,,23.5,24.5
IFM_LEFT_P24VD_2,A,float,none,,23.5,24.5
IFM_LEFT_P24VD_3,A,float,none,,23.5,24.5

RLAY24_1_PLUS_1,A,float,none,,23.5,24.5
RLAY24_1_MINUS_1,A,float,none,,23.5,24.5
RLAY24_2_PLUS_1,A,float,none,,23.5,24.5
RLAY24_2_MINUS_1,A,float,none,,23.5,24.5
RLAY24_1_PLUS_2,A,float,none,,23.5,24.5
RLAY24_1_MINUS_2,A,float,none,,23.5,24.5
RLAY24_2_PLUS_2,A,float,none,,23.5,24.5
RLAY24_2_MINUS_2,A,float,none,,23.5,24.5

# 12v
FAN_P12VA_1,A,float,none,,10.8,13.2
FAN_P12VA_2,A,float,none,,10.8,13.2
FAN_P12VA_3,A,float,none,,10.8,13.2
SLANTED_LIDAR_P12VB_1,A,float,none,,10.8,13.2
SLANTED_LIDAR_P12VB_2,A,float,none,,10.8,13.2
SLANTED_LIDAR_P12VB_3,A,float,none,,10.8,13.2
P12VC_1,A,float,none,,10.8,13.2
